,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
19998,19999,1,-1,X,O,0.13237391412258148,0.10535787791013718,-0.802,0.79,0.2
248,249,1,-1,X,O,0.06715387105941772,0.044575318694114685,-1.0,0.278,0.4
498,499,1,-1,X,O,0.08176208287477493,0.06136379763484001,-0.932,0.594,0.4
748,749,1,-1,X,O,0.08185335993766785,0.08045367151498795,-0.624,0.734,0.4
998,999,-1,1,X,O,0.09406852722167969,0.09246190637350082,-0.304,0.794,0.4
1248,1249,1,-1,X,O,0.13111403584480286,0.09147600084543228,-0.5,0.794,0.4
1498,1499,1,-1,X,O,0.07155514508485794,0.10479806363582611,-1.0,0.838,0.4
1748,1749,1,-1,X,O,0.10481508076190948,0.08722549676895142,-0.802,0.896,0.4
1998,1999,-1,1,X,O,0.0802353173494339,0.04561866819858551,-0.808,0.876,0.4
2248,2249,-1,1,X,O,0.12868015468120575,0.07764336466789246,-0.704,0.926,0.4
2498,2499,1,-1,X,O,0.08761616051197052,0.09641037881374359,-0.884,0.894,0.4
2748,2749,-1,1,X,O,0.1136239692568779,0.08451718837022781,-0.888,0.814,0.4
2998,2999,1,-1,X,O,0.15839606523513794,0.12602737545967102,-0.778,0.876,0.4
3248,3249,-1,1,X,O,0.0537746287882328,0.13564082980155945,-0.58,0.908,0.4
3498,3499,-1,1,X,O,0.07609187066555023,0.0814957469701767,-0.912,0.908,0.4
3748,3749,1,-1,X,O,0.10120871663093567,0.10379748791456223,-0.802,0.902,0.4
3998,3999,1,-1,X,O,0.07482051104307175,0.06519448012113571,-0.804,0.836,0.4
4248,4249,-1,1,X,O,0.07527954876422882,0.11759722232818604,-0.48,0.918,0.4
4498,4499,-1,1,X,O,0.09290146827697754,0.08399788290262222,-0.5,0.87,0.4
4748,4749,-1,1,X,O,0.08008464425802231,0.11832604557275772,-0.524,0.926,0.4
4998,4999,1,-1,X,O,0.09034664928913116,0.08892814815044403,-0.5,0.878,0.4
5248,5249,1,-1,X,O,0.10490550100803375,0.06928003579378128,0.0,0.77,0.4
5498,5499,0,0,X,O,0.10108555108308792,0.10346244275569916,-0.5,0.894,0.4
5748,5749,0,0,X,O,0.07124097645282745,0.06870201975107193,-0.7,0.878,0.4
5998,5999,1,-1,X,O,0.0849008709192276,0.10244306921958923,-0.224,0.888,0.4
6248,6249,1,-1,X,O,0.07107515633106232,0.08646037429571152,-0.82,0.908,0.4
6498,6499,-1,1,X,O,0.07493472099304199,0.11080248653888702,-0.298,0.854,0.4
6748,6749,-1,1,X,O,0.06845466047525406,0.06305593997240067,-0.402,0.858,0.4
6998,6999,-1,1,X,O,0.10274931788444519,0.081154465675354,-0.292,0.892,0.4
7248,7249,-1,1,X,O,0.11156120896339417,0.08813686668872833,-0.302,0.856,0.4
7498,7499,-1,1,X,O,0.11424240469932556,0.10883332788944244,-1.0,0.83,0.4
7748,7749,1,-1,X,O,0.08824330568313599,0.0700986236333847,-0.082,0.846,0.4
7998,7999,1,-1,X,O,0.07731130719184875,0.07889939099550247,-0.8,0.87,0.4
8248,8249,-1,1,X,O,0.08096829056739807,0.08765779435634613,-0.638,0.818,0.4
8498,8499,0,0,X,O,0.047748737037181854,0.09547260403633118,-0.696,0.858,0.4
8748,8749,0,0,X,O,0.10335282236337662,0.09521422535181046,-0.724,0.876,0.4
8998,8999,-1,1,X,O,0.061381734907627106,0.09645198285579681,-0.382,0.89,0.4
9248,9249,1,-1,X,O,0.09151530265808105,0.12784484028816223,-0.894,0.896,0.4
9498,9499,1,-1,X,O,0.05952192842960358,0.08342777192592621,-0.404,0.9,0.4
9748,9749,1,-1,X,O,0.10601869225502014,0.0784888043999672,-0.91,0.862,0.4
9998,9999,-1,1,X,O,0.05975663661956787,0.10955123603343964,0.0,0.772,0.4
10248,10249,-1,1,X,O,0.09817210584878922,0.11285561323165894,-0.884,0.858,0.4
10498,10499,-1,1,X,O,0.0828883945941925,0.04436660557985306,-0.5,0.846,0.4
10748,10749,-1,1,X,O,0.06844828277826309,0.0549708753824234,-0.702,0.882,0.4
10998,10999,-1,1,X,O,0.07342565059661865,0.07605873048305511,-0.908,0.766,0.4
11248,11249,1,-1,X,O,0.09212733805179596,0.08649587631225586,-0.816,0.9,0.4
11498,11499,1,-1,X,O,0.07394053786993027,0.12234943360090256,-0.79,0.91,0.4
11748,11749,1,-1,X,O,0.07183429598808289,0.14462688565254211,-0.818,0.866,0.4
11998,11999,1,-1,X,O,0.06013926491141319,0.046887945383787155,-0.292,0.886,0.4
12248,12249,1,-1,X,O,0.10797709226608276,0.07800384610891342,-0.806,0.838,0.4
12498,12499,1,-1,X,O,0.10766245424747467,0.0841314047574997,-0.598,0.902,0.4
12748,12749,1,-1,X,O,0.06432892382144928,0.04119109362363815,-0.098,0.82,0.4
12998,12999,1,-1,X,O,0.07380108535289764,0.10994204878807068,-0.608,0.8,0.4
13248,13249,-1,1,X,O,0.095787912607193,0.10259793698787689,-0.598,0.866,0.4
13498,13499,1,-1,X,O,0.14183491468429565,0.08672840148210526,-0.606,0.812,0.4
13748,13749,-1,1,X,O,0.12331180274486542,0.09697702527046204,-0.698,0.824,0.4
13998,13999,1,-1,X,O,0.09087399393320084,0.05692770704627037,-0.594,0.844,0.4
14248,14249,1,-1,X,O,0.09032665193080902,0.07607966661453247,-0.684,0.876,0.4
14498,14499,0,0,X,O,0.12824971973896027,0.09132035076618195,-0.102,0.88,0.4
14748,14749,-1,1,X,O,0.10605964064598083,0.06785210967063904,-0.592,0.862,0.4
14998,14999,1,-1,X,O,0.07969504594802856,0.057113297283649445,-0.588,0.826,0.4
15248,15249,1,-1,X,O,0.0842222273349762,0.12014107406139374,-0.61,0.864,0.4
15498,15499,-1,1,X,O,0.08436670899391174,0.05947000905871391,0.0,0.836,0.4
15748,15749,1,-1,X,O,0.09541879594326019,0.12799325585365295,-1.0,0.858,0.4
15998,15999,1,-1,X,O,0.09490540623664856,0.0744570642709732,-1.0,0.904,0.4
16248,16249,0,0,X,O,0.17804670333862305,0.05416892468929291,-0.284,0.934,0.4
16498,16499,-1,1,X,O,0.1016744077205658,0.1866840422153473,-0.3,0.88,0.4
16748,16749,-1,1,X,O,0.1311221718788147,0.08749184757471085,-0.29,0.838,0.4
16998,16999,-1,1,X,O,0.10722978413105011,0.04780261591076851,-0.096,0.878,0.4
17248,17249,1,-1,X,O,0.09058330208063126,0.08519178628921509,-0.096,0.904,0.4
17498,17499,-1,1,X,O,0.11643893271684647,0.10335534065961838,-0.92,0.822,0.4
17748,17749,-1,1,X,O,0.06796754896640778,0.07297176122665405,0.152,0.84,0.4
17998,17999,-1,1,X,O,0.086899533867836,0.09236017614603043,0.18,0.862,0.4
18248,18249,-1,1,X,O,0.05844457074999809,0.08951959758996964,-0.5,0.822,0.4
18498,18499,1,-1,X,O,0.11583472043275833,0.1059342473745346,-0.332,0.87,0.4
18748,18749,-1,1,X,O,0.1335860788822174,0.09174925833940506,-0.5,0.878,0.4
18998,18999,1,-1,X,O,0.09438003599643707,0.0804889053106308,-0.604,0.88,0.4
19248,19249,1,-1,X,O,0.036217354238033295,0.07692845165729523,-0.736,0.894,0.4
19498,19499,1,-1,X,O,0.12555740773677826,0.07082538306713104,-0.712,0.818,0.4
19748,19749,-1,1,X,O,0.10858555883169174,0.09458476305007935,-0.624,0.864,0.4
19998,19999,0,0,X,O,0.0951881930232048,0.08269385993480682,-0.25,0.878,0.4
248,249,-1,1,X,O,0.043051332235336304,0.06948664784431458,-1.0,0.27,0.5
498,499,-1,1,X,O,0.09083905816078186,0.09434681385755539,-0.888,0.548,0.5
748,749,1,-1,X,O,0.08814142644405365,0.10963974893093109,-0.5,0.714,0.5
998,999,-1,1,X,O,0.10050424188375473,0.0829722136259079,-1.0,0.658,0.5
1248,1249,1,-1,X,O,0.08385070413351059,0.08940699696540833,-0.5,0.752,0.5
1498,1499,-1,1,X,O,0.11639168858528137,0.08524386584758759,-1.0,0.776,0.5
1748,1749,1,-1,X,O,0.08503293991088867,0.11613736301660538,-1.0,0.802,0.5
1998,1999,-1,1,X,O,0.11022715270519257,0.08122272789478302,-1.0,0.802,0.5
2248,2249,1,-1,X,O,0.10992082953453064,0.09981322288513184,-0.916,0.876,0.5
2498,2499,-1,1,X,O,0.07877501845359802,0.13788290321826935,-0.788,0.846,0.5
2748,2749,1,-1,X,O,0.11527454853057861,0.07749961316585541,-0.464,0.884,0.5
2998,2999,1,-1,X,O,0.12619228661060333,0.06249517947435379,-0.408,0.858,0.5
3248,3249,0,0,X,O,0.09132564067840576,0.09655952453613281,-0.788,0.88,0.5
3498,3499,1,-1,X,O,0.0649740993976593,0.07068517804145813,-0.798,0.894,0.5
3748,3749,1,-1,X,O,0.1161673367023468,0.08279635012149811,-0.696,0.828,0.5
3998,3999,-1,1,X,O,0.05120832845568657,0.06968896090984344,-0.706,0.914,0.5
4248,4249,0,0,X,O,0.11829721927642822,0.12890857458114624,-1.0,0.9,0.5
4498,4499,1,-1,X,O,0.09265360981225967,0.08290162682533264,-0.806,0.894,0.5
4748,4749,-1,1,X,O,0.11152882128953934,0.09694228321313858,-0.188,0.9,0.5
4998,4999,-1,1,X,O,0.09310737252235413,0.06337553262710571,-0.296,0.834,0.5
5248,5249,1,-1,X,O,0.07515080273151398,0.054586075246334076,-1.0,0.864,0.5
5498,5499,1,-1,X,O,0.100425124168396,0.07027101516723633,-0.828,0.894,0.5
5748,5749,0,0,X,O,0.08399853855371475,0.09819644689559937,-0.21,0.776,0.5
5998,5999,0,0,X,O,0.07001270353794098,0.1322403848171234,-0.584,0.802,0.5
6248,6249,1,-1,X,O,0.08044010400772095,0.10697312653064728,-0.79,0.804,0.5
6498,6499,1,-1,X,O,0.06275731325149536,0.0659918263554573,-0.82,0.818,0.5
6748,6749,-1,1,X,O,0.08640491962432861,0.09282268583774567,-0.298,0.884,0.5
6998,6999,1,-1,X,O,0.0956779271364212,0.12650328874588013,-0.816,0.834,0.5
7248,7249,-1,1,X,O,0.11228282749652863,0.06981635838747025,-0.28,0.726,0.5
7498,7499,0,0,X,O,0.06909370422363281,0.07835239171981812,-0.72,0.808,0.5
7748,7749,-1,1,X,O,0.09263989329338074,0.10924458503723145,-1.0,0.834,0.5
7998,7999,-1,1,X,O,0.07131322473287582,0.15223899483680725,-0.5,0.862,0.5
8248,8249,1,-1,X,O,0.09236013889312744,0.07402391731739044,-0.782,0.866,0.5
8498,8499,1,-1,X,O,0.12570720911026,0.09957289695739746,-0.894,0.782,0.5
8748,8749,-1,1,X,O,0.1002989113330841,0.0841410756111145,-1.0,0.9,0.5
8998,8999,1,-1,X,O,0.07427525520324707,0.10837174206972122,-0.806,0.824,0.5
9248,9249,-1,1,X,O,0.0848078802227974,0.06064600497484207,-0.096,0.844,0.5
9498,9499,1,-1,X,O,0.06644876301288605,0.0844990462064743,-1.0,0.718,0.5
9748,9749,0,0,X,O,0.06384244561195374,0.08051804453134537,-0.808,0.884,0.5
9998,9999,-1,1,X,O,0.10261006653308868,0.08757641166448593,-0.818,0.856,0.5
10248,10249,-1,1,X,O,0.10005302727222443,0.0584937147796154,-0.088,0.84,0.5
10498,10499,-1,1,X,O,0.12132775038480759,0.10274163633584976,-0.61,0.878,0.5
10748,10749,-1,1,X,O,0.07186713814735413,0.13728973269462585,-0.712,0.854,0.5
10998,10999,-1,1,X,O,0.09715627133846283,0.07305153459310532,-0.734,0.848,0.5
11248,11249,1,-1,X,O,0.10467512905597687,0.12383024394512177,-0.712,0.848,0.5
11498,11499,0,0,X,O,0.09539888054132462,0.11263933032751083,-0.622,0.864,0.5
11748,11749,-1,1,X,O,0.08328017592430115,0.0956149771809578,0.382,0.858,0.5
11998,11999,-1,1,X,O,0.05898187309503555,0.05719100683927536,-0.586,0.67,0.5
12248,12249,1,-1,X,O,0.049562111496925354,0.07585033029317856,-0.598,0.814,0.5
12498,12499,1,-1,X,O,0.11140868067741394,0.12158818542957306,0.396,0.704,0.5
12748,12749,0,0,X,O,0.0810324177145958,0.07568612694740295,-0.5,0.828,0.5
12998,12999,-1,1,X,O,0.11124353110790253,0.07864266633987427,-0.714,0.848,0.5
13248,13249,-1,1,X,O,0.10096415877342224,0.07135802507400513,0.5,0.832,0.5
13498,13499,1,-1,X,O,0.0918157622218132,0.09594234079122543,-0.5,0.746,0.5
13748,13749,1,-1,X,O,0.07596960663795471,0.08892576396465302,-0.186,0.814,0.5
13998,13999,1,-1,X,O,0.11088485270738602,0.06995145976543427,-0.582,0.828,0.5
14248,14249,-1,1,X,O,0.08985743671655655,0.07326552271842957,-0.5,0.876,0.5
14498,14499,-1,1,X,O,0.08209466934204102,0.055457498878240585,-0.778,0.81,0.5
14748,14749,-1,1,X,O,0.079138845205307,0.07698415219783783,-0.64,0.824,0.5
14998,14999,-1,1,X,O,0.10022276639938354,0.09010035544633865,-0.9,0.89,0.5
15248,15249,1,-1,X,O,0.07421912252902985,0.10694684833288193,-0.686,0.912,0.5
15498,15499,1,-1,X,O,0.09095893055200577,0.07362644374370575,-0.886,0.86,0.5
15748,15749,1,-1,X,O,0.07582574337720871,0.10279357433319092,-0.796,0.792,0.5
15998,15999,1,-1,X,O,0.05089396983385086,0.07303815335035324,-0.616,0.838,0.5
16248,16249,-1,1,X,O,0.05866653472185135,0.09550710022449493,-0.194,0.77,0.5
16498,16499,1,-1,X,O,0.10697241127490997,0.06636440753936768,-0.58,0.85,0.5
16748,16749,-1,1,X,O,0.07078816741704941,0.06863158941268921,-0.196,0.786,0.5
16998,16999,-1,1,X,O,0.08372990041971207,0.0633486807346344,-0.698,0.71,0.5
17248,17249,1,-1,X,O,0.08686298131942749,0.08804464340209961,-0.824,0.87,0.5
17498,17499,1,-1,X,O,0.08406412601470947,0.0661316066980362,-0.29,0.828,0.5
17748,17749,1,-1,X,O,0.06422862410545349,0.07213728874921799,-0.808,0.81,0.5
17998,17999,-1,1,X,O,0.11861107498407364,0.08012997359037399,-0.182,0.816,0.5
18248,18249,1,-1,X,O,0.09075106680393219,0.0645911693572998,-0.816,0.83,0.5
18498,18499,1,-1,X,O,0.03180716186761856,0.05903199315071106,-0.786,0.854,0.5
18748,18749,1,-1,X,O,0.06321927905082703,0.1125829815864563,-0.794,0.842,0.5
18998,18999,1,-1,X,O,0.09253910183906555,0.0832422599196434,-0.296,0.752,0.5
19248,19249,-1,1,X,O,0.09589695930480957,0.10109038650989532,-0.788,0.838,0.5
19498,19499,-1,1,X,O,0.08033959567546844,0.10072870552539825,-0.798,0.84,0.5
19748,19749,1,-1,X,O,0.09788575768470764,0.07084554433822632,-0.822,0.796,0.5
19998,19999,-1,1,X,O,0.07997161895036697,0.08231361210346222,-0.838,0.84,0.5
